#
#	Japanese NetHack Copyright (c) Issei Numata 1994 
#	JNetHack may be freely redistributed.  See license for details. 
#
#	English -> Japanese monster table
#
player:			あなた:
#
#	ants
#
giant ant:		巨大蟻:
killer bee:		殺人蜂:
soldier ant:		兵隊蟻:
fire ant:		火蟻:
giant beetle:		巨大カブト虫:
queen bee:		女王蜂:
# 追加 by Ooi Takefumi
snow ant:		雪蟻:
tsetse fly:		ツェツェバエ:
yellow jacket:		黄色ジャケット:
giant wasp:		巨大スズメバチ:
black wasp:		黒色スズメバチ:
army ant:		軍隊蟻:
spitting beetle:	毒吐きカブト虫:
assassin bug:		暗殺虫:
# 追加 by Kihara Tomoyasu
killer beetle:		殺人カブト虫:
#
#	blobs
#
acid blob:		酸のブロッブ:
quivering blob:		震えるブロッブ:
gelatinous cube:	ゼラチンキューブ:
# 追加 by Ooi Takefumi
jiggling blob:		揺れるブロッブ:
lava blob:		溶岩のブロッブ:
crackling blob:		発泡ブロッブ:
burbling blob:		おしゃべりブロッブ:
#
#	cockatrice
#
cockatrice:		コカトリス:
# 追加 by Ooi Takefumi
chickatrice:		シカトリス:
pyrolisk:		パイロリスク:
#
#	dogs and other canines
#
jackal:			ジャッカル:
werejackal:		ジャッカル人間:
little dog:		仔犬:
dog:			犬:
large dog:		大きな犬:
wolf:			狼:
werewolf:		狼人間:
warg:			ワーグ:
winter wolf:		冬狼:
hell hound pup:		ヘルハウンドの仔:
hell hound:		ヘルハウンド:
Cerberus:		ケルベロス:
# 追加 by Ooi Takefumi
fox:			狐:
coyote:			コヨーテ:
dingo:			ディンゴ:
pit bull:		ピットブル:
death dog:		死の犬:
rabid wolf:		狂気の狼:
hyena:			ハイエナ:
wolverine:		クズリ:
shadow wolf:		影の狼:
mist wolf:		霧の狼:
#
#	eyes	
#
floating eye:		さまよう目:
freezing sphere:	凍った球体:
# 追加 by Ooi Takefumi
glowing eye:		光っている球体:
flaming sphere:		燃えている球体:
shocking sphere:	放電している球体:
bloodshot eye:		血走った目:
blinking eye:		まばたく目:
beholder:		ビホルダー:
gas spore:		ガス状の胞子:
#
#	felines 
#
